کد بررسی,دمای هوای اطراف ماشین (کلوین),دمای فرآیند (کلوین),سرعت چرخش اجزای ماشین (دور در دقیقه),گشتاور ماشین (نیوتون متر),مدت زمان سایش ابزار (دقیقه),وضعیت خرابی,نوع خرابی
7193,300.2,310.2,1429,43.8,54,0,No Failure
7194,300.1,310.1,1306,64.7,57,0,No Failure
7195,300.1,310.1,1380,52.6,59,0,No Failure
7196,300.1,310.1,1443,49.3,61,0,No Failure
7197,300.1,310.1,1426,42.7,64,0,No Failure
7198,300,310,1486,41.8,69,0,No Failure
7199,300,309.9,1530,34.5,71,0,No Failure
7200,300,309.9,1507,41.4,74,0,No Failure
7201,300,309.9,1608,33.4,76,0,No Failure
7202,300,309.8,1474,40.6,78,0,No Failure
7203,300,309.7,1326,61.9,80,0,No Failure
7204,299.8,309.6,1434,48,82,0,No Failure
7205,299.8,309.6,1526,41.7,85,0,No Failure
7206,299.8,309.7,1483,39.6,87,0,No Failure
7207,299.8,309.7,1457,51.9,89,0,No Failure
7208,299.7,309.6,1540,34.4,91,0,No Failure
7209,299.8,309.7,1707,29.1,94,0,No Failure
7210,299.8,309.7,1624,34.2,96,0,No Failure
7211,299.8,309.6,1331,50.2,98,0,No Failure
7212,299.8,309.7,1431,40.3,101,0,No Failure
7213,299.8,309.7,1705,28.5,103,0,No Failure
7214,299.8,309.8,1427,45.2,106,0,No Failure
7215,299.9,309.8,1625,41.2,109,0,No Failure
7216,299.9,309.8,1477,47.7,112,0,No Failure
7217,300,309.9,1651,28.1,114,0,No Failure
7218,299.9,309.8,1716,28.2,117,0,No Failure
7219,299.9,309.8,1400,48.7,119,0,No Failure
7220,299.8,309.7,1556,37.7,124,0,No Failure
7221,299.8,309.7,1429,42.6,127,0,No Failure
7222,299.7,309.6,1433,49.6,129,0,No Failure
7223,299.8,309.7,1320,61.7,134,0,No Failure
7224,299.8,309.6,1374,51.6,137,0,No Failure
7225,299.8,309.6,1598,31,139,0,No Failure
7226,299.8,309.7,1910,21.8,141,0,No Failure
7227,299.7,309.6,1399,51.3,144,0,No Failure
7228,299.7,309.6,1720,27.1,146,0,No Failure
7229,299.8,309.7,1368,47.4,148,0,No Failure
7230,299.8,309.8,1749,33.4,153,0,No Failure
7231,299.8,309.8,1542,39.4,155,0,No Failure
7232,299.8,309.9,1553,36.6,157,0,No Failure
7233,299.9,309.9,1639,42.1,159,0,No Failure
7234,299.9,310,1447,45.9,162,0,No Failure
7235,299.8,310,1397,48.1,164,0,No Failure
7236,299.8,310,1361,53.8,167,0,No Failure
7237,299.8,310,1460,37.1,169,0,No Failure
7238,299.8,310,1632,33.7,172,0,No Failure
7239,299.8,310,1697,36,175,0,No Failure
7240,299.8,310.1,1553,42,177,0,No Failure
7241,299.9,310.1,1362,56.3,179,0,No Failure
7242,299.9,310,1484,42.1,182,0,No Failure
7243,299.9,310.1,1447,51.4,185,0,No Failure
7244,300,310.2,1393,51.2,190,0,No Failure
7245,300,310.2,1760,26.9,193,0,No Failure
7246,300,310.1,1477,34.6,195,0,No Failure
7247,299.9,310.1,1681,29.1,197,0,No Failure
7248,300,310.1,1314,53.5,199,0,No Failure
7249,300,310.1,1762,28,202,0,No Failure
7250,299.9,310,1402,44.7,204,0,No Failure
7251,300.1,310.2,1429,42,206,0,No Failure
7252,300.2,310.3,1448,40.1,209,0,No Failure
7253,300.2,310.4,1501,42.9,212,0,No Failure
7254,300.3,310.5,1522,39.1,217,0,No Failure
7255,300.3,310.4,1493,37.5,219,0,No Failure
7256,300.2,310.3,1704,29.4,221,0,No Failure
7257,300.2,310.3,1408,42.5,0,0,No Failure
7258,300.2,310.4,1518,41.8,5,0,No Failure
7259,300.3,310.4,1742,25.9,7,0,No Failure
7260,300.4,310.5,1500,43,9,0,No Failure
7261,300.4,310.5,2424,14.5,12,0,No Failure
7262,300.4,310.5,1818,25.1,14,0,No Failure
7263,300.4,310.6,1545,35.6,16,0,No Failure
7264,300.4,310.6,1429,46.9,19,0,No Failure
7265,300.4,310.6,1448,44.9,21,0,No Failure
7266,300.4,310.6,1384,48.7,24,0,No Failure
7267,300.4,310.5,1578,32.8,26,0,No Failure
7268,300.5,310.5,1695,26.7,28,0,No Failure
7269,300.5,310.6,1543,36.2,30,0,No Failure
7270,300.4,310.5,1540,33.4,32,0,No Failure
7271,300.2,310.4,1808,25.8,35,0,No Failure
7272,300.3,310.4,1293,49.7,37,0,No Failure
7273,300.2,310.3,1202,59.5,40,0,No Failure
7274,300.2,310.3,1704,29.2,42,0,No Failure
7275,300.2,310.3,1478,38.1,45,0,No Failure
7276,300.2,310.3,1514,38.7,48,0,No Failure
7277,300.1,310.3,1350,48.8,50,0,No Failure
7278,300.1,310.2,1475,54.2,53,0,No Failure
7279,300,310.1,1714,28.7,55,0,No Failure
7280,300,310.1,1465,40.9,60,0,No Failure
7281,299.9,310.2,1288,69.6,62,1,Power Failure
7282,300,310.2,1675,29.7,64,0,No Failure
7283,300,310.2,1486,36.4,66,0,No Failure
7284,300,310.2,1443,58.7,68,0,No Failure
7285,300.1,310.3,1345,57.1,71,0,No Failure
7286,300.2,310.4,1202,61.7,74,0,No Failure
7287,300.1,310.4,1480,37.1,77,0,No Failure
7288,300.2,310.4,1530,35.7,80,0,No Failure
7289,300.2,310.6,1983,20.8,83,0,No Failure
7290,300.3,310.6,1433,53.8,86,0,No Failure
7291,300.3,310.6,1806,24.4,88,0,No Failure
7292,300.2,310.5,1416,46.7,90,0,No Failure
7293,300.1,310.4,1556,38.1,92,0,No Failure
7294,300.1,310.5,1627,29.2,95,0,No Failure
7295,300.1,310.6,1809,24.3,97,0,No Failure
7296,300.1,310.5,1329,57.4,99,0,No Failure
7297,300,310.4,1881,21.9,102,0,No Failure
7298,300.1,310.5,1500,39.8,107,0,No Failure
7299,300.1,310.5,1532,36,109,0,No Failure
7300,300.1,310.5,1492,50.9,111,0,No Failure
7301,300.2,310.6,1431,42.3,113,0,No Failure
7302,300.1,310.4,1554,39.4,115,0,No Failure
7303,300.1,310.5,1494,44.2,117,0,No Failure
7304,300.1,310.6,1374,45.4,119,0,No Failure
7305,300.1,310.5,1394,44.3,121,0,No Failure
7306,300,310.5,1790,25.7,123,0,No Failure
7307,300.1,310.5,1356,45.8,126,0,No Failure
7308,300,310.4,1385,52.1,128,0,No Failure
7309,300,310.4,1333,49.1,131,0,No Failure
7310,300,310.4,1505,44.9,133,0,No Failure
7311,300,310.5,1606,33.5,135,0,No Failure
7312,300,310.5,1558,36.7,137,0,No Failure
7313,300,310.5,1412,52.4,142,0,No Failure
7314,299.9,310.4,1408,38.4,144,0,No Failure
7315,299.9,310.3,1268,53.3,146,0,No Failure
7316,299.9,310.4,1470,50,148,0,No Failure
7317,299.9,310.4,1497,47,150,0,No Failure
7318,299.9,310.3,1638,29.1,152,0,No Failure
7319,299.9,310.3,1535,43.9,154,0,No Failure
7320,299.8,310.2,1654,32.7,159,0,No Failure
7321,299.8,310.2,1411,49.7,161,0,No Failure
7322,299.8,310.2,1911,23.5,166,0,No Failure
7323,299.8,310.2,1573,33.3,168,0,No Failure
7324,299.9,310.2,1479,46.3,173,0,No Failure
7325,299.9,310.4,1820,26.6,175,0,No Failure
7326,299.9,310.4,1419,45.7,178,0,No Failure
7327,299.9,310.5,1335,52.9,180,0,No Failure
7328,299.9,310.5,1576,39.4,183,0,No Failure
7329,300,310.5,1517,42.2,186,0,No Failure
7330,299.9,310.4,1576,34.3,188,0,No Failure
7331,299.8,310.2,1537,36.6,191,0,No Failure
7332,299.8,310.3,1524,34.2,196,0,No Failure
7333,299.8,310.3,1805,23.7,198,0,No Failure
7334,299.9,310.4,1367,53.3,201,0,No Failure
7335,299.8,310.4,1694,30.3,204,0,No Failure
7336,299.9,310.4,1328,49.9,206,0,No Failure
7337,299.9,310.5,1549,42.8,208,0,No Failure
7338,299.9,310.5,1539,32.8,213,0,No Failure
7339,299.8,310.5,1496,38.8,215,0,No Failure
7340,299.8,310.4,1579,36.4,0,0,No Failure
7341,299.7,310.3,1386,46.6,2,0,No Failure
7342,299.7,310.3,1505,37.7,4,0,No Failure
7343,299.7,310.3,1661,34.5,6,0,No Failure
7344,299.6,310.2,1468,48,9,0,No Failure
7345,299.6,310.1,1384,49.8,11,0,No Failure
7346,299.6,310.2,1381,60.5,13,0,No Failure
7347,299.6,310.2,1469,47,15,0,No Failure
7348,299.6,310.2,1627,36.6,17,0,No Failure
7349,299.7,310.3,1462,40.4,19,0,No Failure
7350,299.7,310.2,1633,36.5,24,0,No Failure
7351,299.7,310.2,1469,39.5,26,0,No Failure
7352,299.7,310.2,1458,43.4,28,0,No Failure
7353,299.7,310.2,1440,42.8,30,0,No Failure
7354,299.8,310.3,1687,30.4,33,0,No Failure
7355,299.7,310.3,1429,47.7,35,0,No Failure
7356,299.6,310.2,1588,34.1,38,0,No Failure
7357,299.6,310.2,1333,51.2,40,0,No Failure
7358,299.6,310.1,1487,42.9,42,0,No Failure
7359,299.5,310.1,1659,31.5,44,0,No Failure
7360,299.4,310,1512,43.2,47,0,No Failure
7361,299.5,310.1,1585,35.2,50,0,No Failure
7362,299.5,310,1502,38.5,52,0,No Failure
7363,299.5,310,1594,35.1,54,0,No Failure
7364,299.5,310,1412,48.9,56,0,No Failure
7365,299.5,309.9,1402,51.7,58,0,No Failure
7366,299.6,310.1,2057,20.4,60,0,No Failure
7367,299.6,310.1,1531,36.8,62,0,No Failure
7368,299.5,310.1,1359,61.1,67,0,No Failure
7369,299.6,310.2,1620,30,70,0,No Failure
7370,299.6,310.1,1646,29.6,73,0,No Failure
7371,299.6,310.1,1455,46.1,76,0,No Failure
7372,299.6,310.2,1512,44,79,0,No Failure
7373,299.6,310.2,1473,42.7,81,0,No Failure
7374,299.6,310.1,1553,38,83,0,No Failure
7375,299.5,310,1379,50.4,85,0,No Failure
7376,299.4,309.9,1567,40.6,87,0,No Failure
7377,299.5,310,1481,43.1,90,0,No Failure
7378,299.5,310,1349,52.7,92,0,No Failure
7379,299.5,310,1388,52.4,94,0,No Failure
7380,299.6,310.1,1357,48.7,96,0,No Failure
7381,299.6,310.2,1743,24.8,99,0,No Failure
7382,299.7,310.3,1495,43.1,101,0,No Failure
7383,299.8,310.4,1698,28.3,103,0,No Failure
7384,299.7,310.4,1410,44.5,105,0,No Failure
7385,299.7,310.4,1614,36.2,108,0,No Failure
7386,299.8,310.5,1375,53.9,110,0,No Failure
7387,299.8,310.6,1574,31.8,113,0,No Failure
7388,299.8,310.6,1423,44.6,116,0,No Failure
7389,299.8,310.6,1694,31.3,121,0,No Failure
7390,299.8,310.6,1707,32.5,124,0,No Failure
7391,299.7,310.5,1490,41.2,126,0,No Failure
7392,299.7,310.6,1675,31.3,129,0,No Failure
7393,299.7,310.5,1492,39.3,131,0,No Failure
7394,299.7,310.5,1594,35.4,134,0,No Failure
7395,299.7,310.6,1479,38,137,0,No Failure
7396,299.7,310.6,1572,38,139,0,No Failure
7397,299.7,310.6,1616,35.1,142,0,No Failure
7398,299.7,310.6,1737,26.1,144,0,No Failure
7399,299.7,310.7,1498,37.8,146,0,No Failure
7400,299.6,310.6,1642,35.1,149,0,No Failure
7401,299.6,310.6,1633,34.2,151,0,No Failure
7402,299.8,310.8,1409,51.9,154,0,No Failure
7403,299.8,310.8,1463,43.5,156,0,No Failure
7404,299.8,310.8,1376,48.6,159,0,No Failure
7405,299.8,310.8,1553,32.2,161,0,No Failure
7406,299.8,310.8,1530,35.2,163,0,No Failure
7407,299.8,310.9,1545,40.7,166,0,No Failure
7408,299.8,310.9,1427,47.2,168,0,No Failure
7409,299.9,310.9,1292,51.1,173,0,No Failure
7410,299.8,310.9,2084,17.6,175,0,No Failure
7411,299.9,311,1747,27.6,177,0,No Failure
7412,300,311.1,1425,47.8,179,0,No Failure
7413,300,311,1637,33.6,181,0,No Failure
7414,300.1,311.1,1616,35.2,183,0,No Failure
7415,300.1,311.1,1619,33.4,186,0,No Failure
7416,300.1,311.2,1489,39.1,188,0,No Failure
7417,300.1,311.2,1452,42.4,190,0,No Failure
7418,300.1,311.3,1495,41,193,0,No Failure
7419,300.2,311.4,1427,39.7,196,0,No Failure
7420,300.1,311.4,1572,36.2,199,0,No Failure
7421,300.1,311.3,1547,40,201,0,No Failure
7422,300.1,311.4,1342,48.5,203,0,No Failure
7423,300,311.2,1351,44.1,206,0,No Failure
7424,300,311.3,1407,47.3,208,0,No Failure
7425,300.1,311.4,1575,29.8,210,0,No Failure
7426,300,311.4,1791,24.1,213,0,No Failure
7427,300,311.4,1692,29,216,1,Tool Wear Failure
7428,300,311.4,1634,31.9,0,0,No Failure
7429,300,311.4,1864,23.3,2,0,No Failure
7430,300,311.4,1590,33.6,5,0,No Failure
7431,300,311.4,1384,46.1,7,0,No Failure
7432,300,311.4,1352,61.8,10,0,No Failure
7433,300.1,311.4,1484,43.1,13,0,No Failure
7434,300.1,311.4,1913,21.9,15,0,No Failure
7435,300,311.4,1508,38.2,18,0,No Failure
7436,299.9,311.3,1504,40.7,20,0,No Failure
7437,300,311.4,1487,41.2,22,0,No Failure
7438,299.8,311.3,1727,30,24,0,No Failure
7439,299.9,311.3,1647,27.5,26,0,No Failure
7440,300,311.3,1493,41.4,28,0,No Failure
7441,300,311.4,1655,29.6,30,0,No Failure
7442,299.9,311.4,1337,54.8,32,0,No Failure
7443,300,311.5,1601,36.9,35,0,No Failure
7444,300.1,311.6,1589,37.9,37,0,No Failure
7445,300.2,311.7,1286,55.1,42,0,No Failure
7446,300.2,311.7,1553,41.3,44,0,No Failure
7447,300.2,311.8,1379,51,46,0,No Failure
7448,300.3,311.9,1677,30.8,48,0,No Failure
7449,300.3,311.8,1488,38.4,51,0,No Failure
7450,300.3,311.8,1418,45.9,53,0,No Failure
7451,300.3,311.8,1451,41,55,0,No Failure
7452,300.3,311.8,1508,43.1,57,0,No Failure
7453,300.3,311.7,1579,33.6,59,0,No Failure
7454,300.3,311.7,1432,47.7,61,0,No Failure
7455,300.2,311.6,1446,47.3,66,0,No Failure
7456,300.2,311.7,1597,39.5,68,0,No Failure
7457,300.2,311.7,1397,50.2,71,0,No Failure
7458,300.1,311.6,1530,36.6,74,0,No Failure
7459,300.1,311.6,1433,51.4,76,0,No Failure
7460,300,311.5,1591,32,79,0,No Failure
7461,300,311.5,1445,41.6,81,0,No Failure
7462,300,311.5,1749,28.3,83,0,No Failure
7463,300,311.3,1703,30.4,85,0,No Failure
7464,300.1,311.4,1518,46.9,87,0,No Failure
7465,300.1,311.3,1535,42.3,92,0,No Failure
7466,300.1,311.4,1390,52.1,94,0,No Failure
7467,300.3,311.6,1801,23.6,97,0,No Failure
7468,300.3,311.6,1463,41.6,102,0,No Failure
7469,300.3,311.6,1560,37.7,107,0,No Failure
7470,300.3,311.6,1607,33.5,109,0,No Failure
7471,300.4,311.6,1332,54.6,111,0,No Failure
7472,300.3,311.7,1365,53.3,113,0,No Failure
7473,300.3,311.6,1617,32.5,115,0,No Failure
7474,300.3,311.6,1304,62.8,118,0,No Failure
7475,300.3,311.7,1989,22.3,121,0,No Failure
7476,300.3,311.6,1339,53.4,123,0,No Failure
7477,300.2,311.5,1492,41.8,128,0,No Failure
7478,300.1,311.3,1518,40.2,130,0,No Failure
7479,300.1,311.3,1479,39.5,133,0,No Failure
7480,300.1,311.3,1523,34.1,135,0,No Failure
7481,300.2,311.4,1570,35.3,138,0,No Failure
7482,300.2,311.4,1506,36.1,141,0,No Failure
7483,300.2,311.6,1510,47.5,146,0,No Failure
7484,300.2,311.6,1671,28.8,149,0,No Failure
7485,300.3,311.6,1312,53.4,151,0,No Failure
7486,300.3,311.6,1595,38.8,154,0,No Failure
7487,300.3,311.7,1635,31.8,156,0,No Failure
7488,300.3,311.7,1707,33.6,158,0,No Failure
7489,300.3,311.7,1545,43.5,160,0,Random Failures
7490,300.2,311.6,1751,28,162,0,No Failure
7491,300.4,311.8,1707,30,165,0,No Failure
7492,300.4,311.8,1320,57.9,168,0,No Failure
7493,300.3,311.7,1319,51.4,170,0,No Failure
7494,300.2,311.7,1448,54.2,173,0,No Failure
7495,300.2,311.8,1436,48.2,175,0,No Failure
7496,300.3,311.9,1609,34,177,0,No Failure
7497,300.2,311.8,1464,44.5,179,0,No Failure
7498,300.3,311.8,1483,45.1,181,0,No Failure
7499,300.2,311.8,1748,28.5,184,0,No Failure
7500,300.3,311.8,1746,26.3,187,0,No Failure
7501,300.2,311.8,1410,51.4,189,0,No Failure
7502,300.2,311.7,1640,30.8,191,0,No Failure
7503,300.3,311.7,1655,29.9,193,0,No Failure
7504,300.3,311.7,1646,28.9,198,0,No Failure
7505,300.4,311.8,1589,42,201,0,No Failure
7506,300.5,311.9,1546,39.4,203,0,No Failure
7507,300.5,311.9,1511,41.8,205,0,No Failure
7508,300.5,311.9,1750,28.3,207,0,No Failure
7509,300.5,311.9,1730,27.5,209,0,No Failure
7510,300.6,311.9,1372,60.1,212,1,Overstrain Failure
7511,300.5,311.8,1524,38.9,214,1,Tool Wear Failure
7512,300.4,311.8,1601,36.1,0,0,No Failure
7513,300.5,311.8,1636,34.4,2,0,No Failure
7514,300.4,311.8,2261,14.9,5,0,No Failure
7515,300.4,311.8,1636,32.3,7,0,No Failure
7516,300.4,311.9,1335,58.3,9,0,No Failure
7517,300.3,311.7,1236,57.5,12,0,No Failure
7518,300.3,311.7,1445,47.3,15,0,No Failure
7519,300.2,311.5,1500,40.8,17,0,No Failure
7520,300.2,311.6,1999,21,19,0,No Failure
7521,300.2,311.6,1529,35.5,21,0,No Failure
7522,300.2,311.6,1467,40.7,23,0,No Failure
7523,300.1,311.5,1334,54,26,0,No Failure
7524,300.1,311.5,1343,46.2,28,0,No Failure
7525,300.2,311.5,1639,31.1,31,0,No Failure
7526,300.1,311.5,1383,49.1,33,0,No Failure
7527,300.1,311.4,1660,31.4,38,0,No Failure
7528,300.1,311.3,1470,45.2,40,0,No Failure
7529,300.1,311.3,1748,26.6,42,0,No Failure
7530,300.1,311.4,1467,35.7,45,0,No Failure
7531,300.1,311.4,1617,39.3,47,0,No Failure
7532,300.1,311.4,1377,56.7,50,0,No Failure
7533,300,311.3,1629,32.1,55,0,No Failure
7534,300,311.2,1504,37.9,58,0,No Failure
7535,300,311.2,1418,47.3,60,0,No Failure
7536,300,311.2,1629,31.7,62,0,No Failure
7537,300.1,311.3,2579,12.5,64,1,Power Failure
7538,300.1,311.3,1305,64.7,66,0,No Failure
7539,300.2,311.4,1450,38.5,68,0,No Failure
7540,300.2,311.3,1487,36.9,71,0,No Failure
7541,300.2,311.3,1587,31.2,73,0,No Failure
7542,300.3,311.5,1528,40.9,76,0,No Failure
7543,300.4,311.6,1401,49.9,79,0,No Failure
7544,300.3,311.5,1446,45,82,0,No Failure
7545,300.2,311.4,1425,44.2,84,0,No Failure
7546,300.2,311.4,1891,22.6,86,0,No Failure
7547,300.2,311.5,1454,42.8,88,0,No Failure
7548,300.1,311.4,1430,40.9,93,0,No Failure
7549,300.2,311.4,1495,43.6,95,0,No Failure
7550,300.3,311.4,1544,41.6,97,0,No Failure
7551,300.3,311.4,1554,34.3,99,0,No Failure
7552,300.2,311.3,1491,37.3,102,0,No Failure
7553,300.3,311.3,1525,40.7,105,0,No Failure
7554,300.3,311.3,1505,39.6,107,0,No Failure
7555,300.3,311.4,1371,50.2,109,0,No Failure
7556,300.3,311.3,1332,60.5,112,0,No Failure
7557,300.3,311.4,1471,37,114,0,No Failure
7558,300.4,311.5,1750,27.3,116,0,No Failure
7559,300.3,311.4,1386,48.1,119,0,No Failure
7560,300.4,311.4,1355,56.2,122,0,No Failure
7561,300.3,311.3,1377,53.8,125,0,No Failure
7562,300.3,311.1,1388,49.4,128,0,No Failure
7563,300.3,311.1,1350,58.7,130,0,No Failure
7564,300.4,311.2,1831,23.4,133,0,No Failure
7565,300.3,311.2,1381,65.2,136,1,Power Failure
7566,300.3,311.2,1783,25.6,139,0,No Failure
7567,300.3,311,1613,34.7,142,0,No Failure
7568,300.2,311,2370,14.7,144,0,No Failure
7569,300.2,311,1627,33.7,147,0,No Failure
7570,300.2,311,1255,71.8,149,1,Power Failure
7571,300.2,311,1777,27.5,151,0,No Failure
7572,300.3,311.1,1606,30.9,156,0,No Failure
7573,300.3,311.1,1676,28.6,158,0,No Failure
7574,300.3,311.1,1605,37.1,160,0,No Failure
7575,300.4,311.1,1487,37.4,162,0,No Failure
7576,300.4,311.2,1471,46.5,164,0,No Failure
7577,300.3,311.1,1477,44.2,166,0,No Failure
7578,300.4,311.2,1530,32,169,0,No Failure
7579,300.4,311.2,1673,28.9,171,0,No Failure
7580,300.4,311.2,1436,56.8,173,0,No Failure
7581,300.4,311.3,1495,51.2,175,0,No Failure
7582,300.4,311.2,1366,56.1,177,0,No Failure
7583,300.4,311.2,1489,45.3,180,0,No Failure
7584,300.3,311.1,1480,46.6,185,0,No Failure
7585,300.4,311.2,1472,37.3,187,0,No Failure
7586,300.4,311.1,1397,50.8,189,0,No Failure
7587,300.4,311.1,1589,35.5,191,0,No Failure
7588,300.4,311.1,1405,54.1,193,0,No Failure
7589,300.4,311.1,2013,20.1,195,0,No Failure
7590,300.4,311,1802,26,197,0,No Failure
7591,300.4,311,1433,46.1,199,0,No Failure
7592,300.5,311.1,1296,61.3,202,1,Overstrain Failure
7593,300.5,311.2,1551,36.6,205,0,No Failure
7594,300.5,311.2,1270,67.5,208,1,Overstrain Failure
7595,300.6,311.3,1531,38.5,0,0,No Failure
7596,300.5,311.2,1397,45.2,2,0,No Failure
7597,300.5,311.1,1547,37.2,7,0,No Failure
7598,300.5,311,2074,18.9,9,0,No Failure
7599,300.5,311.1,1491,42.6,11,0,No Failure
7600,300.5,311,1759,28.3,13,0,No Failure
7601,300.4,311,1595,35.4,15,0,No Failure
7602,300.4,311.2,1351,62,18,0,No Failure
7603,300.4,311.2,1705,28.7,20,0,No Failure
7604,300.4,311.2,1406,43.6,22,0,No Failure
7605,300.4,311.3,1639,34.6,24,0,No Failure
7606,300.4,311.3,2026,20.3,26,0,No Failure
7607,300.4,311.3,1350,56.5,31,0,No Failure
7608,300.5,311.3,1468,41.1,34,0,No Failure
7609,300.5,311.4,1642,27.1,37,0,No Failure
7610,300.5,311.3,1490,41.8,39,0,No Failure
7611,300.5,311.3,1507,43.4,41,0,No Failure
7612,300.5,311.4,1611,32.7,44,0,No Failure
7613,300.5,311.4,1743,27.6,46,0,No Failure
7614,300.5,311.3,1475,46.3,49,0,No Failure
7615,300.5,311.4,1432,47.5,51,0,No Failure
7616,300.5,311.4,1442,47,53,0,No Failure
7617,300.6,311.4,1468,40.4,55,0,No Failure
7618,300.5,311.4,1556,45.3,58,0,No Failure
7619,300.5,311.4,1312,51.4,60,0,No Failure
7620,300.6,311.5,1459,47,63,0,No Failure
7621,300.5,311.5,1651,36.9,65,0,No Failure
7622,300.5,311.5,1490,38.4,67,0,No Failure
7623,300.6,311.6,1473,31.5,69,0,No Failure
7624,300.6,311.7,1734,29.9,72,0,No Failure
7625,300.6,311.7,1507,45.5,74,0,No Failure
7626,300.6,311.7,1556,34.9,76,0,No Failure
7627,300.5,311.6,1351,53.5,78,0,No Failure
7628,300.5,311.7,1445,44.8,83,0,No Failure
7629,300.5,311.7,1619,32.7,85,0,No Failure
7630,300.5,311.7,1269,64,87,0,No Failure
7631,300.5,311.6,1534,37.7,90,0,No Failure
7632,300.5,311.6,1444,49.3,92,0,No Failure
7633,300.5,311.6,1744,26.8,94,0,No Failure
7634,300.4,311.5,1441,44.6,96,0,No Failure
7635,300.3,311.3,1506,40.7,98,0,No Failure
7636,300.3,311.4,1526,38.5,101,0,No Failure
7637,300.4,311.5,1704,29.7,103,0,No Failure
7638,300.4,311.4,1445,52.4,105,0,No Failure
7639,300.5,311.5,1661,35.9,110,0,No Failure
7640,300.5,311.4,1466,41.8,112,0,No Failure
7641,300.4,311.3,1608,35.1,114,0,No Failure
7642,300.4,311.4,1352,57.3,116,0,No Failure
7643,300.4,311.4,1604,31.7,119,0,No Failure
7644,300.4,311.4,1427,50.7,122,0,No Failure
7645,300.4,311.4,1424,44.6,127,0,No Failure
7646,300.4,311.4,1662,29.3,129,0,No Failure
7647,300.4,311.4,1936,23.9,131,0,No Failure
7648,300.4,311.4,1728,31.7,133,0,No Failure
7649,300.4,311.4,1552,28.8,135,0,No Failure
7650,300.4,311.5,1662,29,137,0,No Failure
7651,300.3,311.4,1343,57.7,142,0,No Failure
7652,300.4,311.5,1476,32.6,144,0,No Failure
7653,300.3,311.4,1346,51.1,147,0,No Failure
7654,300.4,311.5,1492,44.6,149,0,No Failure
7655,300.3,311.5,1540,41.5,151,0,No Failure
7656,300.4,311.5,1596,32.5,154,0,No Failure
7657,300.5,311.6,1541,47.8,156,0,No Failure
7658,300.5,311.6,1661,30,158,0,No Failure
7659,300.4,311.6,1359,55.4,160,0,No Failure
7660,300.5,311.6,1528,42.4,163,0,No Failure
7661,300.5,311.6,1246,52.9,165,0,No Failure
7662,300.5,311.6,1575,32.5,168,0,No Failure
7663,300.5,311.6,1658,30.4,170,0,No Failure
7664,300.5,311.6,1385,54.8,173,0,No Failure
7665,300.5,311.7,1454,50.3,175,0,No Failure
7666,300.5,311.6,1497,40.5,180,0,No Failure
7667,300.6,311.7,1424,50.8,182,0,No Failure
7668,300.6,311.7,1528,43.9,185,0,No Failure
7669,300.6,311.8,1539,37,187,0,No Failure
7670,300.7,311.8,1336,58.4,189,1,Overstrain Failure
7671,300.5,311.6,1525,37.6,191,0,No Failure
7672,300.5,311.6,1456,51.1,193,0,No Failure
7673,300.5,311.7,2141,17.2,196,0,No Failure
7674,300.5,311.6,1476,39.1,199,0,No Failure
7675,300.5,311.6,1509,47.2,202,0,No Failure
7676,300.5,311.6,1447,45.4,204,0,No Failure
7677,300.6,311.7,1448,49.1,206,0,No Failure
7678,300.6,311.7,1428,52.6,208,0,No Failure
7679,300.6,311.7,1389,52.1,210,0,No Failure
7680,300.7,311.7,1635,32.4,213,0,No Failure
7681,300.7,311.7,1395,43.7,215,0,No Failure
7682,300.7,311.8,1443,43.7,217,0,No Failure
7683,300.7,311.7,1412,49.1,219,0,No Failure
7684,300.7,311.7,1524,43.5,222,0,No Failure
7685,300.7,311.8,1407,42.4,224,0,No Failure
7686,300.8,311.7,1397,43.5,227,0,No Failure
7687,300.7,311.7,1504,36.9,229,0,No Failure
7688,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
7689,300.6,311.7,1553,39.8,0,0,No Failure
7690,300.6,311.7,1432,39.2,2,0,No Failure
7691,300.5,311.6,1577,36.5,4,0,No Failure
7692,300.5,311.5,1370,56.1,7,0,No Failure
7693,300.5,311.6,1506,36.2,10,0,No Failure
7694,300.6,311.6,1964,21.4,15,0,No Failure
7695,300.6,311.7,1500,36.7,17,0,No Failure
7696,300.6,311.7,1488,47.7,22,0,No Failure
7697,300.6,311.5,1282,60.2,24,0,No Failure
7698,300.5,311.4,1400,45.1,29,0,No Failure
7699,300.6,311.5,1419,38.6,31,0,No Failure
7700,300.7,311.5,1441,40.6,33,0,No Failure
7701,300.7,311.6,1348,62.5,36,0,No Failure
7702,300.8,311.7,1468,38.7,39,0,No Failure
7703,300.7,311.7,1701,30.8,44,0,No Failure
7704,300.7,311.7,1864,23.6,47,0,No Failure
7705,300.6,311.6,1630,31.8,52,0,No Failure
7706,300.5,311.5,1316,49.7,55,0,No Failure
7707,300.5,311.5,1708,31.2,57,0,No Failure
7708,300.5,311.4,1679,27.5,59,0,No Failure
7709,300.5,311.4,1709,32.3,64,0,No Failure
7710,300.5,311.4,1445,41.5,66,0,No Failure
7711,300.5,311.4,1390,51.9,68,0,No Failure
7712,300.4,311.4,1309,55.5,71,0,No Failure
7713,300.5,311.5,1499,37.6,73,0,No Failure
